Date,Price,Open,High,Low,Vol.,Change %
2017-09-12,91.856,91.885,92.06,91.755,31.52K,0.00%
2017-09-13,92.508,91.875,92.515,91.69,50.27K,0.71%
2017-09-14,92.112,92.385,92.66,92.025,26.59K,-0.43%
2017-09-15,91.863,92,92.155,91.585,10.88K,-0.27%
2017-09-18,91.853,91.865,92.02,91.8,1.39K,-0.01%
2017-09-19,91.561,91.765,91.845,91.515,24.29K,-0.32%
2017-09-20,92.296,91.62,92.495,91.215,37.39K,0.80%
2017-09-21,92.049,92.4,92.46,91.89,22.40K,-0.27%
2017-09-22,91.967,91.945,92.005,91.575,24.07K,-0.09%
2017-09-25,92.441,92.12,92.525,92,26.58K,0.52%
2017-09-26,92.781,92.42,93.11,92.345,32.79K,0.37%
2017-09-27,93.171,92.89,93.415,92.81,32.50K,0.42%
2017-09-28,92.932,93.26,93.495,92.92,24.78K,-0.26%
2017-09-29,92.883,93,93.115,92.805,21.91K,-0.05%
2017-10-02,93.405,92.965,93.675,92.94,22.43K,0.56%
2017-10-03,93.414,93.49,93.775,93.275,17.65K,0.01%
2017-10-04,93.284,93.415,93.42,93.085,17.76K,-0.14%
2017-10-05,93.803,93.365,93.835,93.25,18.20K,0.56%
2017-10-06,93.641,93.75,94.1,93.6,27.38K,-0.17%
2017-10-09,93.505,93.625,93.67,93.455,12.44K,-0.15%
2017-10-10,93.101,93.565,93.57,92.95,26.87K,-0.43%
2017-10-11,92.825,93.06,93.19,92.715,20.79K,-0.30%
2017-10-12,92.898,92.755,93.065,92.635,17.44K,0.08%
2017-10-13,92.935,92.93,93.09,92.59,21.58K,0.04%
2017-10-16,93.161,92.965,93.21,92.93,15.65K,0.24%
2017-10-17,93.35,93.14,93.59,93.135,16.91K,0.20%
2017-10-18,93.228,93.34,93.655,93.215,15.59K,-0.13%
2017-10-19,93.12,93.29,93.425,92.91,18.56K,-0.12%
2017-10-20,93.579,93.045,93.675,92.995,27.27K,0.49%
2017-10-23,93.814,93.64,93.9,93.56,16.03K,0.25%
2017-10-24,93.661,93.695,93.87,93.555,18.54K,-0.16%
2017-10-25,93.577,93.83,93.89,93.475,24.51K,-0.09%
2017-10-26,94.509,93.495,94.615,93.365,44.61K,1.00%
2017-10-27,94.822,94.66,95.06,94.63,36.50K,0.33%
2017-10-30,94.454,94.77,94.835,94.325,22.35K,-0.39%
2017-10-31,94.429,94.365,94.6,94.35,18.90K,-0.03%
2017-11-01,94.709,94.415,94.755,94.4,16.62K,0.30%
2017-11-02,94.588,94.665,94.695,94.305,17.09K,-0.13%
2017-11-03,94.858,94.61,94.92,94.115,24.48K,0.29%
2017-11-06,94.657,94.825,95,94.605,17.71K,-0.21%
2017-11-07,94.8,94.63,95.07,94.6,23.73K,0.15%
2017-11-08,94.768,94.765,94.865,94.68,11.41K,-0.03%
2017-11-09,94.352,94.85,94.865,94.305,22.01K,-0.44%
2017-11-10,94.278,94.365,94.555,94.155,14.65K,-0.08%
2017-11-13,94.388,94.355,94.545,94.31,10.71K,0.12%
2017-11-14,93.723,94.405,94.44,93.64,27.44K,-0.70%
2017-11-15,93.726,93.77,93.8,93.305,25.25K,0.00%
2017-11-16,93.854,93.785,93.915,93.69,12.19K,0.14%
2017-11-17,93.575,93.715,93.845,93.42,16.91K,-0.30%
2017-11-20,93.997,93.73,94.02,93.485,19.68K,0.45%
2017-11-21,93.877,93.945,94.085,93.795,11.70K,-0.13%
2017-11-22,93.135,93.855,93.88,93.12,24.89K,-0.79%
2017-11-23,93.135,93.195,93.21,93,9.96K,0.00%
2017-11-24,92.707,93.11,93.175,92.61,17.46K,-0.46%
2017-11-27,92.825,92.665,92.865,92.43,22.70K,0.13%
2017-11-28,93.213,92.795,93.27,92.76,21.74K,0.42%
2017-11-29,93.107,93.175,93.375,92.925,17.79K,-0.11%
2017-11-30,93.002,93.2,93.465,92.68,27.69K,-0.11%
2017-12-01,92.841,92.905,93.21,92.55,31.15K,-0.17%
2017-12-04,93.144,93.04,93.345,93.005,30.07K,0.33%
2017-12-05,93.334,93.02,93.445,93,18.29K,0.20%
2017-12-06,93.582,93.31,93.62,93.135,21.66K,0.27%
2017-12-07,93.769,93.565,93.78,93.495,14.81K,0.20%
2017-12-08,93.874,93.8,94.075,93.785,19.75K,0.11%
2017-12-11,93.843,93.86,93.955,93.65,26.43K,-0.03%
2017-12-12,94.08,93.895,94.21,93.745,18.70K,0.25%
2017-12-13,93.419,94.015,94.095,93.34,30.86K,-0.70%
2017-12-14,93.479,93.38,93.77,93.275,29.83K,0.06%
2017-12-15,93.929,93.57,93.995,93.405,8.97K,0.48%
2017-12-18,93.52,94,94.02,93.575,0.54K,-0.44%
2017-12-19,93.027,93.255,93.31,93.015,14.68K,-0.53%
2017-12-20,92.891,93.035,93.12,92.75,20.13K,-0.15%
2017-12-21,92.862,92.925,93.095,92.815,12.90K,-0.03%
2017-12-22,92.924,93,93.075,92.87,9.38K,0.07%
2017-12-26,92.801,92.885,92.96,92.755,6.31K,-0.13%
2017-12-27,92.612,92.825,92.865,92.525,16.22K,-0.20%
2017-12-28,92.3,92.69,92.69,92.275,15.44K,-0.34%
2017-12-29,91.826,92.355,92.375,91.805,21.61K,-0.51%
2018-01-02,91.573,91.895,91.93,91.47,19.62K,-0.28%
2018-01-03,91.896,91.56,91.99,91.535,17.21K,0.35%
2018-01-04,91.581,91.965,92,91.52,15.73K,-0.34%
2018-01-05,91.673,91.55,91.83,91.51,13.75K,0.10%
2018-01-08,92.1,91.765,92.135,91.61,15.96K,0.47%
2018-01-09,92.26,92.07,92.36,91.96,21.58K,0.17%
2018-01-10,92.07,92.225,92.285,91.65,24.56K,-0.21%
2018-01-11,91.608,92.07,92.305,91.535,22.70K,-0.50%
2018-01-12,90.735,91.51,91.63,90.53,40.56K,-0.95%
2018-01-15,90.735,90.595,90.705,90.045,24.81K,0.00%
2018-01-16,90.146,90.255,90.58,90.105,27.97K,-0.65%
2018-01-17,90.313,89.99,90.695,89.96,33.60K,0.19%
2018-01-18,90.297,90.65,90.765,90.205,28.15K,-0.02%
2018-01-19,90.37,90.32,90.51,89.96,24.17K,0.08%
2018-01-22,90.191,90.27,90.5,90.14,16.70K,-0.20%
