Date,Price,Open,High,Low,Vol.,Change %
2017-10-02,7438.84,7372.76,7438.84,7372.73,891.03M,0.90%
2017-10-03,7468.11,7438.84,7469.82,7426.67,718.75M,0.39%
2017-10-04,7467.58,7468.11,7476.33,7456.61,945.11M,-0.01%
2017-10-05,7507.99,7467.58,7507.99,7464.4,775.86M,0.54%
2017-10-06,7522.87,7507.99,7527.72,7507.99,694.72M,0.20%
2017-10-09,7507.89,7522.87,7523.65,7493.68,695.85M,-0.20%
2017-10-10,7538.27,7507.89,7543.88,7504.56,821.71M,0.40%
2017-10-11,7533.81,7538.27,7550.17,7519.6,1.25B,-0.06%
2017-10-12,7556.24,7533.81,7565.11,7526.33,722.80M,0.30%
2017-10-13,7535.44,7556.24,7556.24,7521.09,686.92M,-0.28%
2017-10-16,7526.97,7535.44,7557,7526.73,738.06M,-0.11%
2017-10-17,7516.17,7526.97,7550.44,7506.31,1.03B,-0.14%
2017-10-18,7542.87,7516.17,7555.24,7516.17,645.75M,0.36%
2017-10-19,7523.04,7542.87,7542.87,7485.42,828.89M,-0.26%
2017-10-20,7523.23,7523.04,7560.04,7517.07,752.95M,0.00%
2017-10-23,7524.45,7523.23,7542,7511.77,565.83M,0.02%
2017-10-24,7526.54,7524.45,7535.22,7508.5,676.61M,0.03%
2017-10-25,7447.21,7526.54,7528.46,7437.42,922.39M,-1.05%
2017-10-26,7486.5,7447.21,7488.26,7440.11,1.02B,0.53%
2017-10-27,7505.03,7486.5,7520.76,7485.24,870.03M,0.25%
2017-10-30,7487.81,7505.03,7507.02,7478.41,749.41M,-0.23%
2017-10-31,7493.08,7487.81,7516.85,7483.97,730.56M,0.07%
2017-11-01,7487.96,7493.08,7532.36,7487.96,1.21B,-0.07%
2017-11-02,7555.32,7487.96,7562.26,7478.88,1.03B,0.90%
2017-11-03,7560.35,7555.32,7580.95,7541.91,672.31M,0.07%
2017-11-06,7562.28,7560.35,7572.9,7544.2,632.91M,0.03%
2017-11-07,7513.11,7562.28,7582.85,7507.83,747.48M,-0.65%
2017-11-08,7529.72,7513.11,7534.49,7504.77,807.97M,0.22%
2017-11-09,7484.1,7529.72,7532.2,7476.89,860.71M,-0.61%
2017-11-10,7432.99,7484.1,7500.29,7421.73,694.70M,-0.68%
2017-11-13,7415.18,7432.99,7469.3,7402.95,759.79M,-0.24%
2017-11-14,7414.42,7415.18,7436.57,7396.92,1.18B,-0.01%
2017-11-15,7372.61,7414.42,7415.09,7357.06,919.47M,-0.56%
2017-11-16,7386.94,7372.61,7393.28,7368.14,926.68M,0.19%
2017-11-17,7380.68,7386.94,7406.53,7356.16,731.96M,-0.08%
2017-11-20,7389.46,7380.68,7397.39,7350.37,738.28M,0.12%
2017-11-21,7411.34,7389.46,7422.18,7367.86,753.29M,0.30%
2017-11-22,7419.02,7411.34,7460.91,7410.38,859.39M,0.10%
2017-11-23,7417.24,7419.02,7422.73,7373.31,577.46M,-0.02%
2017-11-24,7409.64,7417.24,7425.19,7389.54,561.89M,-0.10%
2017-11-27,7383.9,7409.64,7438.39,7383.9,656.44M,-0.35%
2017-11-28,7460.65,7383.9,7469.61,7373.95,946.12M,1.04%
2017-11-29,7393.56,7460.65,7460.65,7386.67,1.11B,-0.90%
2017-11-30,7326.67,7393.56,7416.26,7326.67,1.38B,-0.90%
2017-12-01,7300.49,7326.67,7355.43,7288.73,865.25M,-0.36%
2017-12-04,7338.97,7300.49,7369.65,7300.49,768.16M,0.53%
2017-12-05,7327.5,7338.97,7373.9,7326.57,903.63M,-0.16%
2017-12-06,7348.03,7327.5,7369.71,7289.36,692.98M,0.28%
2017-12-07,7320.75,7348.03,7371.73,7314.6,823.88M,-0.37%
2017-12-08,7393.96,7320.75,7412.21,7314.23,1.04B,1.00%
2017-12-11,7453.48,7393.96,7458.4,7393.58,933.60M,0.80%
2017-12-12,7500.41,7453.48,7501.52,7448.31,1.02B,0.63%
2017-12-13,7496.51,7500.41,7510.77,7492.58,1.03B,-0.05%
2017-12-14,7448.12,7496.51,7496.7,7448.12,924.06M,-0.65%
2017-12-15,7490.57,7448.12,7490.57,7433.78,1.22B,0.57%
2017-12-18,7537.01,7490.57,7544.26,7490.57,585.56M,0.62%
2017-12-19,7544.09,7537.01,7563.49,7534.08,695.72M,0.09%
2017-12-20,7525.22,7544.09,7550.6,7511.45,679.71M,-0.25%
2017-12-21,7603.98,7525.22,7609.69,7517.88,640.56M,1.05%
2017-12-22,7592.66,7603.98,7614.4,7585.47,251.37M,-0.15%
2017-12-27,7620.68,7592.66,7632.71,7586.42,472.51M,0.37%
2017-12-28,7622.88,7620.68,7633.55,7609.77,321.52M,0.03%
2017-12-29,7687.77,7622.88,7697.62,7620.01,298.18M,0.85%
2018-01-02,7648.1,7687.77,7691.34,7624.14,594.07M,-0.52%
2018-01-03,7671.11,7648.1,7689.86,7640.53,589.34M,0.30%
2018-01-04,7695.88,7671.11,7702.51,7671.11,727.69M,0.32%
2018-01-05,7724.22,7695.88,7727.73,7689.81,655.71M,0.37%
2018-01-08,7696.51,7724.22,7733.39,7691.77,654.44M,-0.36%
2018-01-09,7731.02,7696.51,7733.12,7696.5,728.23M,0.45%
2018-01-10,7748.51,7731.02,7756.11,7716.21,885.66M,0.23%
2018-01-11,7762.94,7748.51,7768.96,7734.64,1.01B,0.19%
2018-01-12,7778.64,7762.94,7792.56,7752.63,1.17B,0.20%
2018-01-15,7769.14,7778.64,7783.61,7763.43,568.97M,-0.12%
2018-01-16,7755.93,7769.14,7791.83,7740.55,849.62M,-0.17%
2018-01-17,7725.43,7755.93,7755.93,7711.11,847.95M,-0.39%
2018-01-18,7700.96,7725.43,7739.54,7683.71,789.20M,-0.32%
2018-01-19,7730.79,7700.96,7731.82,7694.66,820.00M,0.39%
2018-01-22,7715.44,7730.79,7739.35,7703.67,752.61M,-0.20%
2018-01-23,7731.83,7715.44,7745.22,7710.03,765.38M,0.21%
2018-01-24,7643.43,7731.83,7731.98,7643.43,769.85M,-1.14%
2018-01-25,7615.84,7643.43,7662.35,7608.53,735.31M,-0.36%
2018-01-26,7665.54,7615.84,7667.4,7615.84,735.67M,0.65%
2018-01-29,7671.53,7665.54,7689.15,7663.93,631.88M,0.08%
2018-01-30,7587.98,7671.53,7671.67,7587.12,823.71M,-1.09%
2018-01-31,7533.55,7587.98,7599.01,7521.77,907.20M,-0.72%
2018-02-01,7490.39,7533.55,7554.73,7476.51,899.49M,-0.57%
2018-02-02,7443.43,7490.39,7494.76,7432.25,898.53M,-0.63%
2018-02-05,7334.98,7443.43,7443.43,7334.79,916.49M,-1.46%
2018-02-06,7141.4,7334.98,7334.98,7079.41,1.40B,-2.64%
2018-02-07,7279.42,7141.4,7311.5,7141.4,1.06B,1.93%
2018-02-08,7170.69,7279.42,7279.42,7161.31,1.00B,-1.49%
2018-02-09,7092.43,7170.69,7170.69,7073.03,955.73M,-1.09%
2018-02-12,7177.06,7092.43,7199.93,7092.43,737.67M,1.19%
2018-02-13,7168.01,7177.06,7202.99,7165.83,740.99M,-0.13%
2018-02-14,7213.97,7168.01,7243.15,7145.73,969.40M,0.64%
2018-02-15,7234.81,7213.97,7267.96,7206.69,770.03M,0.29%
2018-02-16,7294.7,7234.81,7307.97,7234.81,671.91M,0.83%
2018-02-19,7247.66,7294.7,7306.21,7239.98,520.05M,-0.64%
2018-02-20,7246.77,7247.66,7264.78,7202.14,699.56M,-0.01%
2018-02-21,7281.57,7246.77,7291.8,7220.55,930.80M,0.48%
2018-02-22,7252.39,7281.57,7281.57,7187.76,952.98M,-0.40%
2018-02-23,7244.41,7252.39,7262.05,7220.81,695.74M,-0.11%
2018-02-26,7289.58,7244.41,7312.98,7244.31,603.89M,0.62%
2018-02-27,7282.45,7289.58,7326.02,7272.87,740.36M,-0.10%
2018-02-28,7231.91,7282.45,7293.36,7231.91,948.41M,-0.69%
2018-03-01,7175.64,7231.91,7231.91,7153.39,886.34M,-0.78%
2018-03-02,7069.9,7175.64,7175.64,7063.42,938.59M,-1.47%
2018-03-05,7115.98,7069.9,7119.21,7062.13,956.92M,0.65%
2018-03-06,7146.75,7115.98,7197.8,7115.6,810.45M,0.43%
2018-03-07,7157.84,7146.75,7180.71,7109.56,889.06M,0.16%
2018-03-08,7203.24,7157.84,7212.14,7145.7,734.71M,0.63%
2018-03-09,7224.51,7203.24,7225.28,7189.74,671.26M,0.30%
2018-03-12,7214.76,7224.51,7254.87,7198.18,631.27M,-0.13%
2018-03-13,7138.78,7214.76,7224.13,7125.6,790.45M,-1.05%
