Date,Price,Open,High,Low,Vol.,Change %
2013-06-17,15190.00,15052.00,15265.00,15046.00,46.52K,0.89%
2013-06-18,15313.00,15192.00,15343.00,15177.00,45.28K,0.81%
2013-06-19,15116.00,15335.00,15348.00,15095.00,33.29K,-1.29%
2013-06-20,14776.00,15101.00,15115.00,14729.00,31.62K,-2.25%
2013-06-21,14867.80,14775.00,14884.00,14770.00,1.37K,0.62%
2013-06-24,14588.00,14715.00,14731.00,14474.00,295.05K,-1.88%
2013-06-25,14690.00,14595.00,14738.00,14527.00,187.96K,0.70%
2013-06-26,14824.00,14684.00,14865.00,14621.00,149.39K,0.91%
2013-06-27,14936.00,14831.00,15003.00,14820.00,143.04K,0.76%
2013-06-28,14824.00,14937.00,15002.00,14801.00,179.85K,-0.75%
2013-07-01,14882.00,14833.00,15012.00,14791.00,140.99K,0.39%
2013-07-02,14861.00,14886.00,14980.00,14795.00,156.30K,-0.14%
2013-07-03,14916.00,14860.00,14957.00,14751.00,109.63K,0.37%
2013-07-04,15031.00,14931.00,15062.00,14921.00,0K,0.77%
2013-07-05,15076.00,14920.00,15112.00,14895.00,167.66K,0.30%
2013-07-08,15160.00,15080.00,15200.00,15063.00,111.44K,0.56%
2013-07-09,15222.00,15165.00,15258.00,15162.00,99.48K,0.41%
2013-07-10,15243.00,15232.00,15318.00,15192.00,138.63K,0.14%
2013-07-11,15393.00,15299.00,15419.00,15299.00,105.73K,0.98%
2013-07-12,15369.00,15385.00,15433.00,15347.00,96.85K,-0.16%
2013-07-15,15416.00,15367.00,15444.00,15361.00,63.04K,0.31%
2013-07-16,15391.00,15416.00,15433.00,15352.00,80.53K,-0.16%
2013-07-17,15440.00,15388.00,15459.00,15345.00,128.74K,0.32%
2013-07-18,15481.00,15431.00,15533.00,15400.00,103.10K,0.27%
2013-07-19,15506.00,15465.00,15511.00,15429.00,88.57K,0.16%
2013-07-22,15491.00,15507.00,15541.00,15458.00,69.81K,-0.10%
2013-07-23,15513.00,15495.00,15547.00,15486.00,80.29K,0.14%
2013-07-24,15500.00,15515.00,15564.00,15438.00,124.47K,-0.08%
2013-07-25,15484.00,15498.00,15504.00,15398.00,121.98K,-0.10%
2013-07-26,15498.00,15494.00,15522.00,15343.00,122.85K,0.09%
2013-07-29,15483.00,15493.00,15505.00,15422.00,94.95K,-0.10%
2013-07-30,15493.00,15481.00,15537.00,15419.00,118.30K,0.06%
2013-07-31,15433.00,15483.00,15580.00,15431.00,168.44K,-0.39%
2013-08-01,15550.00,15477.00,15595.00,15472.00,114.61K,0.76%
2013-08-02,15590.00,15567.00,15600.00,15496.00,95.40K,0.26%
2013-08-05,15554.00,15585.00,15597.00,15524.00,67.12K,-0.23%
2013-08-06,15474.00,15544.00,15564.00,15414.00,115.80K,-0.51%
2013-08-07,15442.00,15462.00,15466.00,15375.00,106.89K,-0.21%
2013-08-08,15452.00,15448.00,15523.00,15371.00,138.44K,0.06%
2013-08-09,15375.00,15454.00,15472.00,15305.00,142.97K,-0.50%
2013-08-12,15387.00,15373.00,15404.00,15290.00,108.26K,0.08%
2013-08-13,15411.00,15398.00,15474.00,15306.00,145.40K,0.16%
2013-08-14,15304.00,15416.00,15426.00,15281.00,145.18K,-0.69%
